name     ,alt_name   ,ra         ,dec        ,vmag,bv_color,helio_distance,metallicity,radial_velocity,radial_velocity_error,central_sigma_v,central_sigma_v_error,half_light_radius,,rhalf,MV
NGC 5053 ,           ,13 16 27.09,+17 42 00.9,9.47,0.65,17.4,-2.27,44,0.4,1.4,0.2,2.61,0.000379609,13.21038532,-6.732746241
NGC 5024 ,M 53       ,13 12 55.25,+18 10 05.4,7.61,0.64,17.9,-2.1,-62.9,0.3,4.4,0.9,1.31,0.000190532,6.821031761,-8.654265155
NGC 4147 ,           ,12 10 06.30,+18 32 33.5,10.32,0.59,19.3,-1.8,183.2,0.7,2.6,0.7,0.48,6.98131E-05,2.694786085,-6.107786545
Pal 10   ,           ,19 18 02.10,+18 34 18.0,13.22,        ,5.9,-0.1,-31.7,0.4,               ,                     ,0.99,0.00014399,1.69907658,-0.634260058
NGC 6838 ,M 71       ,19 53 46.49,+18 46 45.1,8.19,1.09,4,-0.78,-22.8,0.2,2.3,0.2,1.67,0.000242891,1.943131554,-4.820299957
Ko 2     ,           ,07 58 17.00,+26 15 18.0,17.6,        ,34.7,           ,               ,                     ,               ,                     ,0.21,3.05432E-05,2.119700585,-0.101647374
NGC 5272 ,M 3        ,13 42 11.62,+28 22 38.2,6.19,0.69,10.2,-1.5,-147.6,0.2,5.5,0.3,2.31,0.000335976,6.853901925,-8.853000859
NGC 5466 ,           ,14 05 27.29,+28 32 04.0,9.04,0.67,16,-1.98,110.7,0.2,1.7,0.2,2.3,0.000334521,10.70467664,-6.980599913
Pal 4    ,           ,11 29 16.80,+28 58 24.9,14.2,        ,108.7,-1.41,74.5,2.1,               ,                     ,0.51,7.41764E-05,16.12595597,-5.98114772
NGC 6779 ,M 56       ,19 16 35.57,+30 11 00.5,8.27,0.86,9.4,-1.98,-135.6,0.9,4,0.6,1.1,0.000159988,3.007781511,-6.595639268
Pal 2    ,           ,04 46 05.91,+31 22 53.4,13.04,2.08,27.2,-1.42,-133,57,               ,                     ,0.5,7.2722E-05,3.956076289,-4.13284452
NGC 6205 ,M 13       ,16 41 41.24,+36 27 35.5,5.78,0.68,7.1,-1.53,-244.2,0.2,7.1,0.4,1.69,0.0002458,3.490364597,-8.476291744
NGC 2419 ,           ,07 38 08.47,+38 52 56.8,10.41,0.66,82.6,-2.15,-20.2,0.5,4,0.6,0.89,0.000129445,21.38433759,-9.174900237
NGC 6341 ,M 92       ,17 17 07.39,+43 08 09.4,6.44,0.63,8.3,-2.31,-120,0.1,6,0.4,1.02,0.000148353,2.462657476,-8.155390462
NGC 6229 ,           ,16 46 58.79,+47 31 39.9,9.39,0.7,30.5,-1.47,-154.2,7.6,               ,                     ,0.36,5.23598E-05,3.19394983,-8.031499197
Pal 1    ,           ,03 33 20.04,+79 34 51.8,13.18,0.96,11.1,-0.65,-82.8,3.3,               ,                     ,0.46,6.69042E-05,1.485273937,-2.046614894
